customer_id,region,tenure_months,monthly_charges,contract_type,internet_type,payment_method,support_tickets_90d,num_logins_30d,late_payments_12m,age,is_senior,churn
100037,South,43,22.53,month_to_month,fiber,credit_card,0,28,2,55,0,1
100038,North,69,66.14,month_to_month,fiber,mailed_check,1,17,0,51,0,1
100039,East,31,69.01,month_to_month,dsl,bank_transfer,0,20,2,21,0,0
100040,South,42,44.31,two_year,dsl,mailed_check,0,14,1,33,0,0
100041,West,66,67.95,month_to_month,fiber,credit_card,0,12,1,35,0,1
100042,East,26,57.78,month_to_month,dsl,bank_transfer,2,22,0,56,0,1
100043,South,60,38.14,month_to_month,fiber,bank_transfer,2,12,1,44,0,0
100044,West,38,78.43,month_to_month,fiber,credit_card,0,21,0,44,0,1
100045,West,63,53.73,month_to_month,dsl,bank_transfer,0,18,2,51,0,1
100046,South,33,56.87,one_year,fiber,credit_card,0,17,0,73,1,1
100047,South,45,55.75,month_to_month,dsl,bank_transfer,2,15,0,29,0,0
100048,East,23,89.71,one_year,fiber,bank_transfer,0,22,1,25,0,0
100049,North,45,64.18,month_to_month,dsl,credit_card,1,12,0,50,0,1
100050,North,23,66.58,month_to_month,fiber,mailed_check,0,22,1,71,1,1
100051,North,43,56.19,month_to_month,fiber,paypal,0,19,1,77,1,1
100052,West,56,74.26,one_year,dsl,mailed_check,3,21,0,38,0,1
100053,East,31,91.99,two_year,dsl,mailed_check,0,12,0,39,0,1
100054,East,30,77.96,month_to_month,dsl,bank_transfer,1,18,0,69,1,1
100055,West,23,78.74,two_year,dsl,bank_transfer,2,19,1,27,0,1
100056,South,52,77.12,month_to_month,dsl,mailed_check,2,22,0,40,0,0
100057,East,42,37.4,one_year,dsl,bank_transfer,0,20,0,47,0,0
100058,North,37,47.48,one_year,fiber,credit_card,0,15,0,36,0,0
100059,North,1,60.9,month_to_month,dsl,paypal,2,27,0,45,0,1
100060,East,7,50.48,month_to_month,dsl,mailed_check,0,25,0,79,1,1
100061,South,0,43.71,month_to_month,dsl,credit_card,1,24,0,74,1,0
100062,East,61,27.56,one_year,fiber,paypal,0,16,0,41,0,0
100063,West,61,38.07,month_to_month,fiber,bank_transfer,0,14,0,46,0,0
100064,East,4,59.87,two_year,fiber,bank_transfer,2,16,0,75,1,0
100065,East,3,63.61,month_to_month,fiber,bank_transfer,2,19,1,33,0,1
100066,East,56,49.14,two_year,fiber,credit_card,2,16,0,53,0,0
100067,South,37,66.58,month_to_month,dsl,bank_transfer,1,20,0,31,0,1
100068,North,22,56.32,one_year,dsl,bank_transfer,2,23,1,57,0,1
100069,South,44,86.81,month_to_month,fiber,mailed_check,3,19,2,20,0,1
100070,North,17,61.77,month_to_month,dsl,credit_card,0,26,2,31,0,1
100071,South,14,78.93,month_to_month,fiber,mailed_check,0,14,1,63,1,1
100072,West,26,69.06,one_year,fiber,credit_card,0,21,0,61,1,0
100073,North,64,36.96,month_to_month,fiber,bank_transfer,3,15,1,34,0,0
100074,North,55,63.19,one_year,fiber,bank_transfer,4,24,1,30,0,1
100075,South,13,40.29,two_year,none,bank_transfer,0,16,2,66,1,0
100076,South,40,62.84,month_to_month,fiber,mailed_check,0,23,1,78,1,1
100077,East,63,50.1,month_to_month,fiber,mailed_check,0,19,1,52,0,1
100078,East,68,72.64,month_to_month,fiber,paypal,0,14,0,62,1,1
100079,West,54,38.15,month_to_month,fiber,paypal,1,20,0,62,1,0
100080,East,9,65.29,month_to_month,fiber,paypal,0,19,1,73,1,1
100081,South,17,76.45,one_year,dsl,mailed_check,0,16,3,30,0,0
100082,West,15,83.15,month_to_month,dsl,mailed_check,2,21,0,53,0,1
100083,North,10,49.72,month_to_month,fiber,mailed_check,4,18,0,27,0,1
100084,North,12,65.36,one_year,dsl,credit_card,1,21,0,38,0,0
100085,North,22,68.68,month_to_month,dsl,bank_transfer,1,19,0,43,0,1
100086,East,39,95.94,one_year,dsl,bank_transfer,0,16,2,75,1,0
100087,South,28,35.37,two_year,none,credit_card,4,22,0,40,0,0
100088,North,30,46.78,month_to_month,fiber,mailed_check,2,32,0,19,0,0
100089,East,17,121.09,month_to_month,fiber,credit_card,0,14,0,49,0,1
100090,North,10,59.54,one_year,none,mailed_check,1,19,1,44,0,1
100091,East,71,27.18,one_year,dsl,mailed_check,2,29,1,64,1,0
100092,South,43,53.35,one_year,fiber,paypal,3,19,0,18,0,0
100093,South,16,15.0,one_year,fiber,bank_transfer,2,14,2,74,1,1
100094,South,58,69.82,month_to_month,fiber,bank_transfer,0,15,1,63,1,1
100095,East,59,81.2,month_to_month,fiber,paypal,0,25,0,54,0,1
100096,South,69,46.77,one_year,none,paypal,0,28,0,71,1,0
100097,North,11,55.59,one_year,dsl,paypal,1,26,0,32,0,1
100098,North,46,83.47,one_year,dsl,paypal,2,12,0,42,0,0
100099,West,70,30.0,month_to_month,fiber,mailed_check,0,21,0,36,0,0
100100,West,58,38.57,one_year,fiber,mailed_check,3,24,0,35,0,1
100101,East,16,60.44,month_to_month,fiber,mailed_check,3,28,0,74,1,1
100102,South,64,49.95,month_to_month,dsl,bank_transfer,0,21,0,74,1,1
100103,West,30,59.12,month_to_month,fiber,credit_card,1,23,1,30,0,1
100104,West,35,39.72,month_to_month,fiber,bank_transfer,0,22,1,33,0,1
100105,East,40,69.29,one_year,none,bank_transfer,0,22,0,23,0,0
100106,South,55,62.02,month_to_month,fiber,bank_transfer,1,19,0,27,0,0
100107,South,8,75.98,one_year,none,paypal,3,18,2,75,1,1
100108,North,38,69.01,month_to_month,fiber,mailed_check,2,20,0,29,0,1
100109,West,58,69.13,month_to_month,fiber,mailed_check,1,17,0,19,0,1
100110,South,39,36.07,month_to_month,fiber,paypal,2,18,0,72,1,1
100111,North,19,74.85,month_to_month,fiber,paypal,2,21,0,64,1,1
100112,South,4,58.38,one_year,fiber,bank_transfer,1,21,0,62,1,1
100113,East,39,61.67,month_to_month,dsl,paypal,2,26,2,27,0,0
100114,North,50,85.97,month_to_month,dsl,bank_transfer,1,28,1,19,0,0
100115,West,39,50.61,month_to_month,fiber,mailed_check,0,20,1,59,0,1
100116,West,70,92.02,month_to_month,dsl,mailed_check,0,18,2,52,0,1
100117,East,43,93.89,month_to_month,fiber,bank_transfer,1,23,0,29,0,0
100118,South,36,80.06,two_year,dsl,paypal,0,18,1,46,0,0
100119,East,3,45.39,month_to_month,dsl,credit_card,3,17,2,73,1,1
100120,East,40,21.27,month_to_month,fiber,bank_transfer,0,19,1,74,1,1
100121,East,12,86.58,two_year,dsl,mailed_check,1,18,2,21,0,0
100122,North,52,67.23,one_year,none,paypal,2,21,1,20,0,1
100123,South,11,50.1,month_to_month,none,paypal,1,14,0,36,0,0
100124,North,65,88.47,one_year,fiber,credit_card,0,16,0,64,1,0
100125,South,21,47.77,two_year,fiber,mailed_check,1,23,1,66,1,1
100126,South,31,56.52,month_to_month,dsl,mailed_check,0,12,1,50,0,0
100127,North,10,75.5,month_to_month,fiber,bank_transfer,1,21,0,53,0,1
100128,North,15,42.73,two_year,dsl,mailed_check,3,11,0,47,0,0
100129,East,66,62.81,one_year,none,paypal,2,18,0,44,0,0
100130,North,20,86.78,two_year,none,bank_transfer,0,9,0,25,0,1
100131,West,36,69.22,month_to_month,dsl,bank_transfer,0,22,0,45,0,0
100132,East,70,89.95,two_year,fiber,paypal,0,18,0,79,1,0
100133,South,44,87.67,month_to_month,fiber,bank_transfer,1,22,0,49,0,1
100134,East,2,65.15,one_year,fiber,paypal,2,14,2,54,0,1
100135,North,25,18.27,two_year,dsl,credit_card,2,21,0,79,1,0
100136,West,27,42.88,month_to_month,fiber,bank_transfer,0,20,2,19,0,0
100137,South,19,80.27,month_to_month,dsl,paypal,1,14,0,59,0,0
100138,West,17,33.99,one_year,fiber,mailed_check,2,16,0,33,0,1
100139,North,36,58.47,one_year,fiber,bank_transfer,3,21,1,48,0,1
100140,South,27,71.77,month_to_month,fiber,paypal,1,18,2,18,0,0
100141,South,21,94.39,two_year,none,bank_transfer,1,16,1,37,0,0
100142,West,29,53.5,month_to_month,fiber,mailed_check,1,27,2,51,0,1
100143,East,24,52.13,month_to_month,fiber,bank_transfer,1,21,0,49,0,0
100144,South,16,63.95,month_to_month,fiber,paypal,1,25,0,42,0,1
100145,South,32,72.02,two_year,fiber,bank_transfer,2,16,1,75,1,1
100146,South,67,61.92,month_to_month,dsl,bank_transfer,4,35,1,31,0,1
100147,East,36,85.99,one_year,none,paypal,5,16,0,31,0,1
100148,South,43,49.02,month_to_month,dsl,paypal,1,29,0,53,0,0
100149,North,70,67.4,two_year,fiber,paypal,1,24,1,39,0,0
100150,West,44,73.9,one_year,fiber,mailed_check,2,22,0,35,0,0
100151,West,16,57.0,month_to_month,dsl,paypal,0,31,0,22,0,1
100152,North,28,81.79,month_to_month,fiber,mailed_check,0,26,0,50,0,0
100153,East,35,67.98,month_to_month,dsl,bank_transfer,1,20,0,57,0,0
100154,North,34,80.78,month_to_month,dsl,paypal,0,25,0,53,0,1
100155,East,10,68.88,one_year,fiber,bank_transfer,0,21,0,65,1,1
100156,South,7,72.53,one_year,fiber,paypal,0,24,1,59,0,0
100157,East,25,52.35,month_to_month,none,credit_card,0,22,0,57,0,1
100158,East,65,52.38,one_year,fiber,mailed_check,0,21,1,37,0,0
100159,West,51,89.49,month_to_month,dsl,paypal,3,20,1,68,1,1
100160,North,60,77.71,month_to_month,dsl,paypal,0,18,0,73,1,1
100161,West,12,44.54,month_to_month,dsl,mailed_check,0,27,1,65,1,0
100162,North,29,68.62,month_to_month,fiber,bank_transfer,1,29,0,24,0,1
100163,North,41,17.52,one_year,dsl,bank_transfer,0,21,0,78,1,0
100164,East,31,53.52,month_to_month,fiber,paypal,1,25,0,52,0,1
100165,South,30,84.22,one_year,none,mailed_check,1,16,1,46,0,1
100166,West,25,62.5,month_to_month,fiber,bank_transfer,1,22,0,32,0,1
100167,West,3,67.36,one_year,fiber,credit_card,0,26,1,23,0,0
100168,South,61,15.0,month_to_month,dsl,credit_card,1,27,0,69,1,1
100169,West,67,57.15,month_to_month,fiber,paypal,0,23,0,51,0,1
100170,South,5,71.77,month_to_month,dsl,credit_card,1,14,0,74,1,1
100171,East,29,74.31,month_to_month,fiber,paypal,0,19,0,65,1,1
100172,South,37,84.25,month_to_month,dsl,mailed_check,2,20,0,68,1,1
100173,West,56,60.79,month_to_month,dsl,paypal,2,25,0,43,0,0
100174,North,71,61.69,one_year,dsl,credit_card,1,19,0,41,0,0
100175,North,29,38.36,month_to_month,dsl,paypal,1,18,1,45,0,1
100176,South,53,60.91,one_year,fiber,bank_transfer,0,20,0,18,0,0
100177,West,67,39.77,one_year,dsl,credit_card,2,23,2,63,1,0
100178,West,59,28.04,month_to_month,none,credit_card,2,19,1,73,1,1
100179,East,20,43.3,one_year,fiber,paypal,0,18,1,19,0,0
100180,West,58,95.17,month_to_month,dsl,paypal,0,16,0,73,1,0
100181,West,29,59.59,one_year,dsl,bank_transfer,1,18,0,58,0,0
100182,East,1,69.4,one_year,dsl,mailed_check,0,26,0,52,0,1
100183,South,54,54.73,one_year,fiber,paypal,0,24,0,61,1,1
100184,West,60,29.19,month_to_month,dsl,mailed_check,0,14,1,19,0,0
100185,East,24,83.72,one_year,fiber,credit_card,1,14,2,78,1,1
100186,South,32,21.56,month_to_month,dsl,bank_transfer,0,21,0,71,1,0
100187,North,26,53.9,month_to_month,dsl,credit_card,0,29,0,63,1,1
100188,East,8,63.91,month_to_month,dsl,bank_transfer,0,15,1,38,0,1
100189,South,71,69.61,month_to_month,fiber,mailed_check,0,13,0,26,0,0
100190,West,1,50.47,one_year,fiber,bank_transfer,0,28,1,36,0,1
100191,North,40,28.24,two_year,none,bank_transfer,1,22,1,48,0,0
100192,North,1,48.98,month_to_month,dsl,credit_card,0,20,1,79,1,0
100193,West,49,50.02,one_year,dsl,bank_transfer,2,29,0,43,0,0
100194,North,64,64.18,one_year,fiber,credit_card,1,25,0,63,1,0
100195,North,46,84.4,two_year,fiber,credit_card,0,19,1,42,0,1
100196,East,43,40.73,one_year,fiber,credit_card,0,15,0,21,0,0
100197,West,59,71.02,month_to_month,fiber,paypal,0,27,1,66,1,0
100198,North,70,68.17,month_to_month,fiber,paypal,5,20,0,38,0,1
100199,South,62,84.21,one_year,dsl,paypal,2,23,0,54,0,1
100200,West,16,62.34,month_to_month,none,credit_card,3,15,0,38,0,1
100201,West,40,80.82,two_year,dsl,mailed_check,2,19,1,63,1,0
100202,East,58,61.56,two_year,fiber,paypal,0,21,0,68,1,0
100203,North,21,73.69,two_year,dsl,paypal,0,18,0,64,1,1
100204,North,48,34.94,month_to_month,fiber,mailed_check,0,20,0,73,1,0
100205,North,1,15.0,one_year,fiber,bank_transfer,2,27,1,60,1,1
100206,North,63,72.55,one_year,fiber,paypal,0,20,1,50,0,0
100207,East,44,73.62,month_to_month,fiber,credit_card,0,23,0,64,1,1
100208,North,53,74.51,month_to_month,fiber,bank_transfer,2,14,0,60,1,1
100209,East,59,54.5,month_to_month,fiber,bank_transfer,0,15,1,31,0,1
100210,East,15,94.79,month_to_month,fiber,credit_card,0,21,1,36,0,1
100211,East,32,55.8,two_year,fiber,paypal,2,15,0,24,0,0
100212,North,61,73.42,one_year,dsl,credit_card,0,21,0,65,1,0
100213,West,11,76.89,month_to_month,fiber,mailed_check,0,17,1,27,0,1
100214,East,59,99.37,month_to_month,dsl,credit_card,0,19,1,23,0,1
100215,East,20,58.66,month_to_month,fiber,credit_card,0,12,0,68,1,1
100216,North,41,51.94,month_to_month,dsl,bank_transfer,1,24,0,21,0,0
100217,North,36,35.04,month_to_month,fiber,bank_transfer,1,21,1,77,1,1
100218,West,49,96.05,one_year,fiber,paypal,0,18,0,31,0,0
100219,South,60,73.43,one_year,fiber,paypal,2,28,1,76,1,1
100220,South,25,74.06,one_year,fiber,paypal,1,24,1,58,0,0
100221,South,12,127.33,two_year,dsl,paypal,0,26,0,18,0,1
100222,East,30,71.5,month_to_month,fiber,mailed_check,0,17,0,66,1,1
100223,West,44,38.95,month_to_month,fiber,paypal,1,13,0,79,1,0
100224,South,54,61.08,month_to_month,fiber,credit_card,1,27,1,75,1,1
100225,West,54,45.5,month_to_month,fiber,bank_transfer,1,17,1,72,1,1
100226,North,24,57.08,month_to_month,dsl,paypal,0,16,2,32,0,0
100227,East,67,56.95,month_to_month,fiber,bank_transfer,1,22,1,30,0,0
100228,East,5,53.26,month_to_month,dsl,mailed_check,1,24,1,37,0,1
100229,North,8,37.13,month_to_month,fiber,bank_transfer,2,18,1,52,0,0
100230,North,1,96.85,month_to_month,fiber,bank_transfer,0,23,0,66,1,1
100231,South,66,70.98,two_year,dsl,bank_transfer,1,12,1,79,1,0
100232,West,12,60.49,month_to_month,fiber,paypal,0,27,0,47,0,0
100233,East,43,80.15,month_to_month,fiber,paypal,0,20,1,47,0,1
100234,West,58,74.42,two_year,fiber,bank_transfer,1,21,0,70,1,1
100235,West,55,70.51,one_year,dsl,credit_card,0,12,0,77,1,0
100236,South,68,78.7,month_to_month,fiber,credit_card,0,20,0,44,0,0
100237,West,3,67.68,two_year,fiber,bank_transfer,0,23,0,51,0,1
100238,North,29,78.4,month_to_month,fiber,mailed_check,0,21,1,34,0,1
100239,North,36,80.06,month_to_month,fiber,mailed_check,1,27,1,39,0,1
100240,West,50,68.25,month_to_month,dsl,paypal,0,20,1,65,1,1
100241,West,44,60.59,month_to_month,none,paypal,1,20,0,27,0,0
100242,North,40,95.61,one_year,dsl,paypal,0,18,1,35,0,0
100243,East,22,55.44,month_to_month,dsl,credit_card,4,17,1,24,0,1
100244,East,7,72.83,one_year,fiber,bank_transfer,0,19,0,33,0,0
100245,West,31,73.28,one_year,fiber,mailed_check,1,13,2,61,1,0
100246,East,18,52.81,two_year,fiber,paypal,2,21,0,71,1,1
100247,South,39,48.84,month_to_month,dsl,credit_card,2,14,1,38,0,1
100248,South,57,57.92,month_to_month,dsl,credit_card,2,20,0,73,1,1
100249,South,39,55.16,two_year,fiber,mailed_check,1,25,1,43,0,0
100250,East,41,35.84,one_year,dsl,mailed_check,0,24,1,34,0,0
100251,West,3,51.97,month_to_month,fiber,credit_card,3,19,0,76,1,1
100252,South,46,70.32,month_to_month,fiber,bank_transfer,1,22,0,49,0,0
100253,North,31,90.32,one_year,dsl,mailed_check,2,20,0,30,0,0
100254,North,8,76.09,one_year,fiber,bank_transfer,1,22,0,31,0,1
100255,East,15,15.0,one_year,fiber,credit_card,3,15,1,41,0,0
100256,West,56,77.83,two_year,fiber,bank_transfer,2,15,1,24,0,1
100257,North,66,53.84,month_to_month,dsl,bank_transfer,2,28,0,74,1,0
100258,North,36,74.06,month_to_month,fiber,bank_transfer,2,15,0,56,0,1
100259,East,70,64.72,one_year,none,mailed_check,0,19,0,76,1,0
100260,North,12,61.15,two_year,fiber,mailed_check,1,20,1,32,0,1
100261,West,21,62.96,month_to_month,dsl,paypal,0,22,0,67,1,0
100262,South,66,64.55,one_year,dsl,credit_card,1,24,1,59,0,0
100263,North,12,91.89,month_to_month,fiber,bank_transfer,1,20,1,41,0,1
100264,West,47,64.61,month_to_month,fiber,credit_card,0,21,0,39,0,0
100265,North,15,86.71,two_year,none,credit_card,1,19,0,25,0,0
100266,South,23,83.8,month_to_month,none,bank_transfer,1,31,1,67,1,1
100267,North,34,78.34,month_to_month,dsl,credit_card,3,19,2,66,1,1
100268,North,25,29.27,one_year,fiber,paypal,1,27,0,52,0,0
100269,North,62,87.33,month_to_month,dsl,bank_transfer,1,27,0,70,1,0
100270,North,70,55.84,month_to_month,dsl,paypal,1,24,1,56,0,0
100271,North,36,79.31,one_year,dsl,paypal,1,29,0,62,1,1
100272,North,37,45.55,month_to_month,none,mailed_check,2,21,0,79,1,1
100273,East,3,41.3,one_year,dsl,bank_transfer,1,26,0,38,0,0
100274,East,16,104.53,month_to_month,fiber,credit_card,2,13,0,58,0,0
100275,South,2,45.86,month_to_month,fiber,mailed_check,0,18,1,58,0,1
100276,South,61,87.92,one_year,dsl,bank_transfer,2,22,1,74,1,1
100277,East,16,67.37,month_to_month,fiber,mailed_check,1,19,2,61,1,1
100278,West,24,56.6,month_to_month,dsl,mailed_check,1,22,0,34,0,0
100279,West,60,64.1,two_year,dsl,mailed_check,4,18,0,73,1,0
100280,North,51,38.98,one_year,fiber,paypal,3,20,0,68,1,0
100281,North,44,64.72,month_to_month,fiber,paypal,0,15,0,26,0,1
100282,North,2,43.35,month_to_month,fiber,bank_transfer,1,19,1,63,1,0
100283,North,40,57.09,two_year,fiber,bank_transfer,1,29,0,34,0,0
100284,East,40,83.51,month_to_month,dsl,mailed_check,2,15,0,34,0,0
100285,South,22,70.08,one_year,dsl,paypal,1,22,0,43,0,0
100286,North,53,35.36,one_year,fiber,credit_card,0,29,0,37,0,0
100287,South,66,82.03,month_to_month,none,bank_transfer,0,21,1,68,1,1
100288,East,18,64.86,month_to_month,dsl,mailed_check,1,22,3,30,0,1
100289,North,23,54.16,one_year,dsl,credit_card,0,23,1,73,1,1
100290,West,23,79.93,one_year,none,bank_transfer,1,18,0,21,0,0
100291,North,60,61.66,month_to_month,none,mailed_check,1,20,0,35,0,0
100292,West,5,41.69,one_year,dsl,bank_transfer,2,26,1,46,0,0
100293,North,64,101.96,one_year,fiber,paypal,1,26,1,49,0,1
100294,West,55,64.65,month_to_month,fiber,mailed_check,0,15,1,72,1,1
100295,West,34,63.37,month_to_month,fiber,bank_transfer,0,14,0,55,0,1
100296,West,42,56.9,one_year,fiber,mailed_check,4,23,1,50,0,0
100297,West,64,88.6,month_to_month,none,bank_transfer,0,19,0,28,0,0
100298,West,55,54.5,two_year,dsl,bank_transfer,1,28,0,20,0,0
100299,East,19,34.1,month_to_month,fiber,credit_card,0,19,2,67,1,1
100300,West,3,51.43,two_year,dsl,bank_transfer,1,15,1,53,0,1
100301,North,47,91.54,one_year,fiber,paypal,0,15,0,47,0,1
100302,East,10,81.64,one_year,fiber,credit_card,0,26,1,49,0,1
100303,East,6,59.9,month_to_month,fiber,bank_transfer,2,12,0,73,1,1
100304,West,70,92.47,month_to_month,none,paypal,1,19,0,46,0,1
100305,South,34,79.96,month_to_month,fiber,mailed_check,1,23,1,51,0,1
100306,South,46,59.67,month_to_month,fiber,paypal,0,27,1,49,0,1
100307,East,15,61.68,month_to_month,dsl,paypal,1,24,0,69,1,0
100308,South,7,71.59,two_year,none,paypal,1,22,1,31,0,1
100309,North,4,48.36,month_to_month,fiber,bank_transfer,2,14,0,21,0,1
100310,South,25,65.09,two_year,fiber,bank_transfer,1,22,1,77,1,0
100311,South,0,71.17,month_to_month,fiber,paypal,0,26,2,45,0,0
100312,North,30,31.26,one_year,dsl,credit_card,2,31,1,53,0,0
100313,South,23,61.21,month_to_month,fiber,mailed_check,1,16,1,43,0,1
100314,South,37,58.94,one_year,dsl,bank_transfer,0,17,0,36,0,0
100315,South,42,85.56,one_year,dsl,mailed_check,0,29,1,30,0,0
100316,South,22,28.11,two_year,none,credit_card,0,16,2,60,1,0
100317,East,32,57.37,month_to_month,none,bank_transfer,2,12,0,52,0,1
100318,South,5,55.36,month_to_month,fiber,bank_transfer,1,22,0,56,0,1
100319,West,21,84.2,two_year,none,bank_transfer,0,18,0,64,1,0
100320,West,70,64.13,month_to_month,fiber,paypal,0,23,1,36,0,1
100321,South,71,100.92,one_year,dsl,paypal,0,12,0,48,0,0
100322,South,34,78.24,month_to_month,none,mailed_check,1,28,1,55,0,1
100323,East,67,56.8,month_to_month,fiber,mailed_check,3,16,0,69,1,1
100324,West,36,69.79,one_year,fiber,credit_card,1,21,2,24,0,0
100325,East,9,57.92,one_year,fiber,mailed_check,0,26,0,36,0,1
100326,West,62,82.19,one_year,fiber,bank_transfer,1,28,1,30,0,1
100327,East,29,38.36,month_to_month,dsl,bank_transfer,2,19,2,36,0,0
100328,East,44,48.53,one_year,none,credit_card,1,18,0,75,1,0
100329,South,46,74.11,two_year,dsl,paypal,2,20,0,28,0,0
100330,East,22,89.52,month_to_month,fiber,mailed_check,1,13,1,64,1,1
100331,North,52,20.96,month_to_month,dsl,bank_transfer,1,14,0,66,1,0
100332,East,36,92.49,month_to_month,fiber,mailed_check,1,31,1,64,1,1
100333,West,26,62.2,one_year,dsl,credit_card,1,24,0,27,0,0
100334,North,21,27.32,month_to_month,fiber,mailed_check,2,19,0,23,0,1
100335,East,53,64.18,one_year,fiber,bank_transfer,0,19,1,27,0,0
100336,North,17,34.41,month_to_month,dsl,bank_transfer,2,27,1,69,1,1
100337,East,8,64.61,one_year,dsl,credit_card,0,17,2,18,0,1
100338,North,63,63.68,one_year,dsl,mailed_check,3,22,1,62,1,0
100339,West,23,77.66,month_to_month,fiber,paypal,0,20,0,42,0,1
100340,North,46,54.01,month_to_month,fiber,mailed_check,4,18,1,76,1,1
100341,West,51,42.84,month_to_month,dsl,bank_transfer,3,11,0,45,0,0
100342,West,60,56.74,month_to_month,fiber,credit_card,1,20,0,46,0,1
100343,East,45,65.67,month_to_month,dsl,paypal,2,18,0,45,0,0
100344,West,50,69.62,one_year,fiber,credit_card,1,20,0,68,1,0
100345,West,60,49.22,month_to_month,none,paypal,1,18,0,65,1,0
100346,West,67,83.03,month_to_month,fiber,credit_card,3,18,0,77,1,0
100347,South,3,52.57,month_to_month,dsl,credit_card,0,18,0,43,0,0
100348,East,53,47.61,month_to_month,fiber,paypal,2,17,1,70,1,1
100349,North,12,54.15,two_year,none,paypal,1,21,0,18,0,0
100350,East,64,86.5,month_to_month,dsl,credit_card,0,21,2,56,0,0
100351,North,3,62.34,month_to_month,fiber,credit_card,2,23,1,55,0,1
100352,East,17,51.11,month_to_month,none,mailed_check,0,29,1,21,0,1
100353,East,13,83.52,two_year,fiber,credit_card,1,20,0,28,0,0
100354,South,43,107.85,one_year,fiber,credit_card,0,12,0,78,1,1
100355,East,0,69.19,month_to_month,fiber,mailed_check,2,18,0,19,0,1
100356,West,1,89.68,one_year,none,paypal,2,19,0,49,0,0
100357,West,36,85.72,one_year,dsl,credit_card,0,21,0,66,1,1
100358,South,69,52.89,one_year,none,mailed_check,0,18,0,78,1,0
100359,East,38,65.53,month_to_month,fiber,bank_transfer,4,22,1,33,0,1
100360,West,32,39.35,one_year,fiber,paypal,0,16,1,56,0,0
100361,North,47,60.9,one_year,none,paypal,0,20,0,64,1,0
100362,North,39,52.48,month_to_month,fiber,bank_transfer,2,19,0,74,1,1
100363,North,27,56.94,month_to_month,dsl,bank_transfer,1,26,1,57,0,0
100364,East,42,50.0,month_to_month,dsl,paypal,0,16,1,32,0,0
100365,South,0,59.26,month_to_month,fiber,bank_transfer,3,26,1,72,1,1
100366,West,17,75.64,month_to_month,fiber,credit_card,1,14,1,76,1,1
100367,East,48,62.61,one_year,dsl,paypal,0,25,1,40,0,0
100368,South,24,27.71,one_year,fiber,paypal,3,20,0,48,0,0
100369,West,3,50.08,month_to_month,none,paypal,0,22,0,58,0,0
